1,0,4.63913,0.514299,Trachea,10.5062,10.7251,21.2582,0.0432624,-0.0589767,-0.997321
2,1,5.73893,0.53208,LMB,11.5505,10.187,16.2649,0.328946,-0.139841,-0.933937
3,1,3.8696,0.673572,RMB,10.4698,10.6795,17.017,-0.070705,0.0471369,-0.996383
4,2,1.33404,0.417425,,12.9048,9.27048,13.6898,0.615275,-0.772512,0.157042
5,2,1.31517,0.640608,LMB,12.9002,9.87696,13.0757,0.617182,0.138689,-0.774501
6,3,2.11416,0.680641,RMB,10.2144,10.6887,14.042,-0.112149,-0.0776199,-0.990655
7,3,1.88337,0.433037,CrRMB,9.54409,10.9531,14.6084,-0.837765,0.193695,-0.510522
8,4,0.0350234,0.368605,,13.3243,8.75064,13.8088,0.51965,-0.260397,0.81373
9,4,1.34311,0.276831,,13.6389,8.21712,13.5565,0.482089,-0.801243,-0.354401
10,5,0.724579,0.326585,,13.5524,10.2144,12.6663,0.679706,0.679623,0.275885
11,5,0.495451,0.523875,LMB,13.4292,9.94992,12.3522,0.496922,-0.0736297,-0.864666
12,6,2.17854,0.410046,AcRMB,10.4105,10.2144,12.0285,0.288817,-0.360039,-0.887106
13,6,0.0929327,0.65146,RMB,10.0822,10.6294,12.9567,-0.294837,0.490677,-0.819943
14,7,1.21625,0.264139,,8.23993,10.912,14.3609,-0.847274,-0.36744,0.383555
15,7,0.0759997,0.378742,CrRMB,8.72783,11.1537,14.1086,-0.719738,0.480265,-0.501321
16,8,0.831291,0.265928,,13.338,8.51808,14.1705,0.0110672,-0.548544,0.836048
17,8,0.689089,0.198671,,13.6024,8.92848,13.9373,0.780887,0.529394,0.331598
18,9,0.0128835,0.238608,,13.9672,7.67448,13.3185,0.706329,-0.707884,0
19,9,0.48629,0.150397,,13.7712,7.61064,13.1852,-0.787594,-0.281313,-0.548232
20,10,0.595605,0.157482,,14.0904,10.5199,12.771,0.979844,0.199125,0.0159494
21,10,0.253037,0.159694,,13.7712,10.5837,12.7568,-0.216569,0.973375,-0.0750881
22,11,1.03739,0.383188,,13.8715,9.58056,11.9285,0.615392,-0.676932,-0.403803
23,11,1.5548,0.448124,LMB,13.9217,10.0639,11.4668,0.475108,0.170131,-0.863324
24,12,0.926576,0.177538,,10.8482,9.97727,10.6433,0.265818,0.33463,-0.904081
25,12,0.817126,0.364705,AcRMB,10.8391,9.52584,10.8052,0.279028,-0.72547,-0.629156
26,13,1.82239,0.452874,MiRMB,9.37079,10.2737,12.4711,-0.76571,-0.41539,-0.49106
27,13,2.13995,0.558177,CaRMB,10.0594,11.1674,11.9809,-0.00850483,0.481553,-0.876376
28,14,0.0224971,0.270567,,7.72008,10.6795,14.5989,-0.408946,-0.808989,0.422256
29,14,0.883889,0.20608,,7.41458,10.4104,14.4466,-0.701672,-0.629377,-0.333979
30,15,0.847462,0.308812,CrRMB,8.42688,11.3407,13.8135,-0.645693,0.398131,-0.651592
31,15,0.766634,0.239409,,8.70048,11.555,14.1039,0,0.999304,0.0373069
32,16,0.127975,0.207837,,13.3152,8.2992,14.5751,-0.42821,0.142528,0.892369
33,16,0.368699,0.2092,,13.3608,8.13048,14.6084,0.0987252,-0.865748,0.490646
34,17,0.586965,0.105439,,13.876,9.36168,14.2039,0.0155034,0.854566,0.519111
35,17,0.0779587,0.140529,,13.908,9.0972,14.0515,0.936393,-0.350955,0
36,18,0.466629,0.171109,,14.2044,7.68816,13.3185,0.996939,0.0781777,0
37,18,0.863556,0.210568,,14.0493,7.25952,13.209,0.179606,-0.950488,-0.253602
38,19,0.194206,0.103825,,13.4885,7.5696,13.071,-0.939213,0.281762,0.196185
39,19,1.03131,0.0853392,,13.5524,7.31424,12.5902,-0.0530403,-0.442157,-0.895368
40,20,0.210225,0.130285,,14.4415,10.5655,12.8615,0.564156,-0.130336,0.815316
41,20,0.410734,0.127,,14.5555,10.6704,12.7139,0.843854,0.444082,-0.301168
42,21,0.254892,0.11193,,13.7302,10.7708,12.8568,-0.107104,0.501,0.858794
43,21,0.390904,0.10368,,13.7438,10.8619,12.6283,0,0.79329,-0.608844
44,22,0.719639,0.260535,,14.4871,9.0516,11.6192,0.823747,-0.494247,-0.277778
45,22,0.413227,0.198041,,14.0402,9.12912,11.6192,-0.72817,-0.485543,-0.483752
46,23,0.39925,0.387765,,14.3686,10.3786,10.8195,0.388478,0.913712,0.119223
47,23,1.02536,0.434126,LMB,14.5145,10.26,10.3387,0.435847,0.124444,-0.891376
48,24,0.262389,0.108585,,11.0125,10.2555,10.2435,0.312894,0.938682,0.144824
49,24,0.410556,0.1417,,11.017,10.1415,10.0246,0.222138,0.0445739,-0.973996
50,25,0.461643,0.315551,AcRMB,11.0352,9.05616,10.4196,0.355685,-0.750708,-0.556709
51,25,0.411736,0.209421,,10.8072,9.08808,10.5815,-0.708707,-0.686652,0.161997
52,26,0.0421262,0.341221,MiRMB,8.66853,9.87696,12.0142,-0.216039,-0.865969,-0.451027
53,26,0.975704,0.258067,,8.37213,10.0366,11.6667,-0.616888,0.28974,-0.731779
54,27,0.696476,0.317669,,10.1323,11.9746,11.2145,0.235616,0.838077,0.492049
55,27,0.754021,0.518431,CaRMB,9.98189,11.824,10.7004,-0.181454,0.374923,-0.909125
56,28,0.681738,0.215508,,7.66533,10.5609,14.9226,-0.147124,-0.321091,0.935551
57,28,0.652845,0.174429,,7.52853,10.9166,14.7084,-0.572724,0.754391,0.32075
58,29,0.112516,0.152024,,7.14098,10.1004,14.2705,0.648798,-0.567036,-0.507476
59,29,0.393584,0.1736,,6.92663,10.0502,14.28,-0.903745,-0.417041,-0.0965488
60,30,0.313068,0.138583,,8.15783,11.4137,13.4137,0.029067,-0.61169,-0.790564
61,30,0.0543429,0.265654,CrRMB,8.13958,11.5231,13.5184,-0.504206,0.504206,-0.701108
62,31,0.415203,0.133419,,8.89658,12.0019,14.142,0.944597,0.30756,0.114642
63,31,0.496528,0.135167,,8.61838,12.1707,14.1467,-0.330698,0.936704,0.114997
64,32,0.105589,0.180454,,13.2832,8.30376,14.6846,-0.0861827,-0.0863724,0.992528
65,32,0.478717,0.1605,,13.2057,8.37672,14.8464,-0.342791,0.285764,0.894893
66,33,0.426445,0.172452,,13.4018,7.78392,14.7989,0.10693,-0.87683,0.468758
67,33,0.236541,0.130799,,13.3197,7.90248,14.6228,-0.500969,-0.578335,-0.643863
68,34,0.51765,0.108597,,13.9444,9.7812,14.5418,0.246691,0.651868,0.717086
69,34,0.308241,0.0879207,,13.8533,9.76296,14.3752,-0.177458,0.976376,0.12328
70,35,0.379601,0.105464,,14.0904,9.04248,14.1658,0.768704,-0.216227,0.601947
71,35,0.64223,0.0629556,,14.2409,9.19752,14.0039,0.923034,0.355013,-0.148234
72,36,0.041808,0.139133,,14.4552,7.69728,13.3232,0.870644,-0.43628,0.227242
73,36,0.64612,0.0913454,,14.6695,7.92984,13.2994,0.719834,0.691637,-0.0589663
74,37,0.607912,0.178619,,14.0767,6.56184,13.1852,-0.164991,-0.945137,0.281949
75,37,0.828915,0.166094,,14.3184,6.612,12.8186,0.46205,-0.572122,-0.677633
76,38,0.246223,0.0781225,,13.3243,7.51944,13.1519,-0.59255,-0.629673,0.50239
77,38,0.136848,0.104136,,13.3425,7.638,13.09,-0.800158,0.599789,0
78,40,0.286065,0.10529,,14.5327,10.5928,13.0805,0.223026,0.286997,0.931607
79,40,0.522236,0.0951901,,14.7425,10.4788,13.0138,0.925634,-0.279375,0.255248
80,41,0.336648,0.110278,,14.8017,10.9121,12.6711,0.433389,0.89411,0.112878
81,41,0.751969,0.101269,,15.1027,10.7889,12.6806,0.994456,0.0727435,0.0759344
82,42,0.107116,0.111554,,13.7393,10.8437,13.0138,0.425708,0.169909,0.888765
83,42,0.253367,0.0728825,,13.5933,10.8574,12.9852,-0.972109,0.179976,0.150376
84,43,0.347394,0.0908422,,13.835,11.1629,12.4855,0.525052,0.839968,-0.13702
85,43,0.470952,0.0876055,,13.5796,11.0444,12.3427,-0.6971,0.116147,-0.707504
86,44,0.636672,0.180278,,15.0844,8.9604,11.5763,0.945385,0.272165,0.17937
87,44,0.627103,0.20213,,14.934,8.65488,11.3526,0.479986,-0.698068,-0.531333
88,45,0.356845,0.121544,,13.7804,8.91024,11.5954,-0.613431,-0.66449,0.426796
89,45,0.395369,0.130009,,13.7712,9.01056,11.3621,-0.599946,-0.0922682,-0.794702
90,46,0.578077,0.167721,,14.3458,10.83,10.8099,-0.347185,0.930671,-0.115382
91,46,0.940465,0.175857,,14.7881,10.8802,10.7957,0.7273,0.678814,-0.101226
92,47,1.22061,0.272617,,15.2213,10.0411,9.63897,0.791979,-0.46321,-0.39775
93,47,0.489044,0.359865,LMB,14.7744,10.3877,9.64852,0.149271,0.261121,-0.953695
94,48,0.350752,0.0768636,,11.1401,10.4606,10.391,0.493795,0.46785,0.732996
95,48,0.253019,0.0730542,,11.0353,10.4652,10.1721,-0.144258,0.684531,-0.714568
96,49,0.357184,0.0883772,,10.976,10.0776,9.68657,-0.485184,-0.408755,-0.772992
97,49,0.376225,0.132941,,11.1219,10.2008,9.65327,0.31497,0.266595,-0.91089
98,50,0.908373,0.276475,AcRMB,11.2997,8.4816,10.1816,0.401596,-0.883513,-0.24109
99,50,0.784124,0.169388,,11.172,8.83728,9.90556,0.139519,-0.116308,-0.983365
100,51,0.334237,0.0974368,,10.6886,8.89656,10.7719,0.163656,-0.300146,0.93975
101,51,0.627845,0.119136,,10.488,8.81904,10.3863,-0.552046,-0.406724,-0.727888
